label,target,corpus,target_group,Race,Religion,Gender,Sexual Orientation,Miscellaneous
offensive,['Homosexual'],anyway princess sapphire silverland dyke threw first brick stonewall,['Sexual Orientation'],0,0,0,1,0
normal,['None'],could teach giraffe paint would one handy sumbitch,['Miscellaneous'],0,0,0,0,1
normal,['None'],want to meet carti bitch barbie ,['Miscellaneous'],0,0,0,0,1
normal,['None'],smiling cuz young black rich handsome,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],sex good bitch slow stroking cry,['Gender'],0,0,1,0,0
offensive,"['African', 'Women']",bitch fine got nerve like nigga ,"['Race', 'Gender']",1,0,1,0,0
normal,['None'],user user yeah people fall outside society standard sexual norm maybe there is reason lot queer trans people like talk bit openly sexuality certain space feel safe,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user room full white folk,['Miscellaneous'],0,0,0,0,1
normal,['None'],play one game overwatch month away first game instantly two player calling people faggot kill oh boy got to play game anymore,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user shoe foot would mean black jew would pay high tax subsidy birth white baby,['Miscellaneous'],0,0,0,0,1
normal,['None'],user irony one whose mother raped invader,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user scheming fraud front hillbilly cult,['Miscellaneous'],0,0,0,0,1
normal,['None'],user idea woman get credit jumping woman calling impeachment take hit smear told go back come job well done unknown white congress woman ,['Miscellaneous'],0,0,0,0,1
offensive,['Homosexual'],big baby davis faggot shameless doe,['Sexual Orientation'],0,0,0,1,0
normal,['None'],user user baby cage destroying environment rolling back regulation siding white supremacist bad mouthing gold star family shithole country response puerto rico,['Miscellaneous'],0,0,0,0,1
normal,['None'],blame orlando pie rat loosing like drunk black label    mtn  s diski wafa wafa,['Miscellaneous'],0,0,0,0,1
normal,['None'],related instagram tag jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,['Miscellaneous'],0,0,0,0,1
normal,['None'],catch woahs pull hoe,['Miscellaneous'],0,0,0,0,1
normal,['None'],stephanie liking nigga shit  getting mad bitch tonight,['Miscellaneous'],0,0,0,0,1
normal,['None'],remember kid cucumber sluttiest vegetable,['Miscellaneous'],0,0,0,0,1
normal,['None'],user time shooting young men demand look tweet whole series people worse nazi child get raped tortured jail little palestinian child,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user like pretty much anything rooted nostalgia even tangentially going wrong path trans woman color disabled queer latina almost certainly never thing many case none,['Miscellaneous'],0,0,0,0,1
normal,['None'],going give fellow negro advice do not show white christian school trying make connection show trying christian roman originally hated christian burned stake fed lion,['Miscellaneous'],0,0,0,0,1
hatespeech,['Homosexual'],stupid motherfucking dick do not dribble as get fuck club fucking faggot user,['Sexual Orientation'],0,0,0,1,0
normal,['None'],user user user way better sonoma remember redneck jesus glenn also,['Miscellaneous'],0,0,0,0,1
hatespeech,"['African', 'Homosexual']",flag maga fag glory come nigger red shoe,"['Race', 'Sexual Orientation']",1,0,0,1,0
hatespeech,"['Hispanic', 'Islam', 'Homosexual', 'Refugee']",hear phrase white privilege one time going opt come back next life black hispanic latino illegal muslim jewish faggot feminist queer gay lesbian dike transgender piece shit word everything life,"['Race', 'Religion', 'Sexual Orientation', 'Miscellaneous']",1,1,0,1,1
hatespeech,['African'],another dumb nigger,['Race'],1,0,0,0,0
hatespeech,['African'],proven gender yet nice profile pic way oh i am nigger,['Race'],1,0,0,0,0
hatespeech,['Jewish'],going figure way kike bitcoin,['Religion'],0,1,0,0,0
hatespeech,"['Disability', 'African', 'Jewish']",user cunt retarded nigger pissed bead shit asshole jew kike,"['Miscellaneous', 'Race', 'Religion']",1,1,0,0,1
hatespeech,['African'],ok give u defense nigger dog tell u like lol bet going to sound like mudshark taking actual nigger lol,['Race'],1,0,0,0,0
hatespeech,['Islam'],user white people agency unlike mudslime sandniggers kill random pedastrians without voice left violence come journalist google executive first regret done white rebellion free weev weev nothing wrong like hitler,['Religion'],0,1,0,0,0
hatespeech,['Jewish'],user first kike,['Religion'],0,1,0,0,0
hatespeech,"['African', 'Jewish']",jew hated disease need eradicated among white folk subhuman nigger arab foot soldier enemy annihilation negotiation,"['Race', 'Religion']",1,1,0,0,0
hatespeech,['African'],pro white christian deported africa belong would come subversive piece shit take advantage white civilization opening gate nigger need standard bottom line nigger level iq dead weight,['Race'],1,0,0,0,0
hatespeech,"['Arab', 'Islam']",yet another sand nigger slaughter innocent hey libscum hope sweet little tender daughter next brought scum live,"['Race', 'Religion']",1,1,0,0,0
hatespeech,['Homosexual'],yet couple filthy dyke want pander sin see must comply law time start organizing one else going to,['Sexual Orientation'],0,0,0,1,0
normal,['None'],user animal killed people horrified bear coon call liberal definition liberal feminist changed keep old dictionary,['Miscellaneous'],0,0,0,0,1
hatespeech,['Islam'],lol wear many confrontation po muzzies black panther scum,['Religion'],0,1,0,0,0
hatespeech,['Jewish'],reminds college fundraiser help kike family rebuild burnt house father magistrado like high court judge richer student family,['Religion'],0,1,0,0,0
hatespeech,['Hispanic'],damn dat wetback need strap moobs,['Race'],1,0,0,0,0
hatespeech,['Jewish'],tire day blah blah blah kike see dream cheese puff boy go bed school night ,['Religion'],0,1,0,0,0
normal,['None'],zion go slipping tearing shoe limp power jack white game,['Miscellaneous'],0,0,0,0,1
normal,['None'],feisty little girl white walker giant feisty young woman night king nuff said got,['Miscellaneous'],0,0,0,0,1
normal,['Women'],stupid rich hoe,['Gender'],0,0,1,0,0
normal,['None'],nude picture older woman xl sex toy online sex chat site top number celebrity boob,['Miscellaneous'],0,0,0,0,1
normal,['None'],silk sheet diamond white,['Miscellaneous'],0,0,0,0,1
normal,['None'],user dude good except woah extravagant prob weirdo hoe,['Miscellaneous'],0,0,0,0,1
normal,['Women'],bro hoe,['Gender'],0,0,1,0,0
offensive,['Women'],ion hang wit bitch nigga insecure,['Gender'],0,0,1,0,0
normal,['None'],cat dick barb scrape competing sperm,['Miscellaneous'],0,0,0,0,1
normal,['None'],lmao viking suck get nigga city,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],nigger need sack tweet nigger,['Race'],1,0,0,0,0
normal,['None'],gap blackpink artist ,['Miscellaneous'],0,0,0,0,1
normal,['None'],girl rude saying thinking bullshit slandering woman also hustle youtube really chat could done privately kiki ed amongst,['Miscellaneous'],0,0,0,0,1
normal,['None'],girl like mix protective let slut,['Miscellaneous'],0,0,0,0,1
normal,['None'],qatar death penalty homosexual activity time recorded case execution pretty much exemplifies state law middle east theory everything prohibited reality thing,['Miscellaneous'],0,0,0,0,1
hatespeech,['Islam'],muzrat strategy every country infest,['Religion'],0,1,0,0,0
normal,['None'],lady uyasebenta independent drive nice car nice apartment beautiful fun every weekend wake different guy bed cry claim raped even remember sex wtf yini lenkinga lost,['Miscellaneous'],0,0,0,0,1
normal,['None'],pc group bts user retweet army skip il hate,['Miscellaneous'],0,0,0,0,1
offensive,['Homosexual'],dm paypal faggot cash fag paypig cash master cash slave,['Sexual Orientation'],0,0,0,1,0
normal,['None'],adulting ghetto sign    ,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],sorry nigger comment even black like nigger,['Race'],1,0,0,0,0
normal,['None'],officially spooky szn bitch,['Miscellaneous'],0,0,0,0,1
hatespeech,"['African', 'Jewish']",nd percent nigger jewish culture taken account thanks jew,"['Race', 'Religion']",1,1,0,0,0
hatespeech,['African'],nigger calling juicy lip phone wtf,['Race'],1,0,0,0,0
normal,['None'],know somewhat hypocritical fuck deal queer guy slightly small white tshirts,['Miscellaneous'],0,0,0,0,1
normal,['African'],wore nipsey blue suit today nigger work place feel energy  ,['Race'],1,0,0,0,0
normal,['None'],distinction refugee illegal migrant refugee victim persecution illegal migrant victim persecution nrc identify illegal migrant citizenship act wd give refugee new life request user add ahmadis,['Miscellaneous'],0,0,0,0,1
normal,['Arab'],user user camel jockey midde east watering station,['Race'],1,0,0,0,0
normal,['None'],dwts look good white,['Miscellaneous'],0,0,0,0,1
normal,['None'],create list destabilizing violence,['Miscellaneous'],0,0,0,0,1
offensive,['Homosexual'],user sup faggot suck two inch cock thru old navy jean,['Sexual Orientation'],0,0,0,1,0
hatespeech,['African'],hate fucking nigger,['Race'],1,0,0,0,0
hatespeech,['African'],nigger cancer,['Race'],1,0,0,0,0
offensive,['Women'],bitch always worrying cough cough user dumb hoe,['Gender'],0,0,1,0,0
offensive,['Women'],user happy birthday slut whatchu day,['Gender'],0,0,1,0,0
hatespeech,['African'],man hate nigger,['Race'],1,0,0,0,0
hatespeech,['Asian'],hop sing jew yes bet looked jew play part came conclusion find jew fit role okay let u get gook minimum wage,['Race'],1,0,0,0,0
normal,['None'],yid endicted yet arrested,['Miscellaneous'],0,0,0,0,1
normal,['None'],i am about to bitch admit,['Miscellaneous'],0,0,0,0,1
normal,['None'],rafiullah shaheed young man levi force shot dead unknown men muslim bagh levy officer killed bomb blast lashkar gah sunday militant also killed day three people including mullahaniyev killed chaman,['Miscellaneous'],0,0,0,0,1
normal,['Homosexual'],sabine wren raging queer,['Sexual Orientation'],0,0,0,1,0
normal,['None'],know seen joker really weird episode atlanta  either way film well done relevant phoenix brilliant,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],nigger saved uk,['Race'],1,0,0,0,0
offensive,['Women'],hoe stole choreo still managed make look bad lose lmfao,['Gender'],0,0,1,0,0
normal,['None'],team name washington warhogs team color red white blue team location washington dc team president anybody bruce allen,['Miscellaneous'],0,0,0,0,1
normal,['None'],nigga flexing jewelry one trynna get discount dollar tree smh,['Miscellaneous'],0,0,0,0,1
offensive,['Jewish'],tfw jew want ban prn censored tfw agree jew tfw change ideal get owned jew,['Religion'],0,1,0,0,0
hatespeech,['African'],microchip nigger cock kfc urinal chicongo mlk day ,['Race'],1,0,0,0,0
normal,['Homosexual'],i am wearing white pant look like faggot,['Sexual Orientation'],0,0,0,1,0
normal,['None'],overthink kill happy,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user user user else expect jihadi terrorist country,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],god bless james earl ray putting nigger mlk save white girl rapist cock maga,['Race'],1,0,0,0,0
normal,['None'],user one two thing happening number girl raped misplacing pain number girl insanely jealous kaitlyn based biology degree dig thinking one,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],fucking ulgly as bitch as stinky as bitch as nigger slave nigger teacher faggot peace shit suck dick,['Race'],1,0,0,0,0
hatespeech,['African'],god made nigger made night made hurry forgot paint white,['Race'],1,0,0,0,0
normal,['None'],user slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hick republican party,['Miscellaneous'],0,0,0,0,1
offensive,['Homosexual'],user user one inayah retarded faggot rather porridge reason you numpty big gay,['Sexual Orientation'],0,0,0,1,0
normal,['None'],user user user muslim immigrant man europe white scandinavian woman thanks help though massive,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user great poet,['Miscellaneous'],0,0,0,0,1
normal,['None'],pakistani moslem link terrorist want stop white christian head state another country visiting european country mother born,['Miscellaneous'],0,0,0,0,1
hatespeech,['Jewish'],next kike,['Religion'],0,1,0,0,0
hatespeech,['Islam'],muzzies black church always given pas primarily help conservative church silent political issue fear losing     status,['Religion'],0,1,0,0,0
normal,['None'],mean conservative saint ronald reagan gave amnesty million mexican another chink armor,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],mudshark black diversity,['Gender'],0,0,1,0,0
hatespeech,['Islam'],labour party number mp prison paedophilia number mp councillor sex registry number million white kid raped paki muslim labour voter covered labour council mp pm,['Religion'],0,1,0,0,0
hatespeech,"['Arab', 'African']",vote number genocide arab nigger scum raping woman killing people destroying europe also include traitor support destruction people ancestral homeland white power,"['Race', 'Race']",1,0,0,0,0
hatespeech,['Islam'],moslem terrorist tactic attack woman attack men come help like first explosion because casualty secondary explosion because casualty medical responder onlooker stay safe always help carry conceal,['Religion'],0,1,0,0,0
offensive,['Homosexual'],well air force thought dyke plumber bitch ya go opinion like asshole,['Sexual Orientation'],0,0,0,1,0
hatespeech,['African'],sister sheboon friend melissa apparently dating blonde dude,['Race'],1,0,0,0,0
normal,['None'],bbi end circle violence tension every five year bring,['Miscellaneous'],0,0,0,0,1
normal,['None'],ya nigga ever say bitch yo friend better believe  ,['Miscellaneous'],0,0,0,0,1
normal,['None'],common blacked get them high,['Miscellaneous'],0,0,0,0,1
normal,['None'],user milky spore think mole milky spore kill food source grub,['Miscellaneous'],0,0,0,0,1
normal,['None'],system superman retard cattery cat able make toast explode,['Miscellaneous'],0,0,0,0,1
normal,['African'],nigga parrot,['Race'],1,0,0,0,0
normal,['None'],raped sheep sneezed pig,['Miscellaneous'],0,0,0,0,1
normal,['None'],tired corporate america number year old feel like bitch number year,['Miscellaneous'],0,0,0,0,1
normal,['Homosexual'],someone took fucking dyke pin going kill,['Sexual Orientation'],0,0,0,1,0
hatespeech,['Jewish'],lol get load kike,['Religion'],0,1,0,0,0
hatespeech,['African'],pls call coon impoverished blks living brink clowngressional bleak carcass cbc use every avenue distract cowardly performance,['Race'],1,0,0,0,0
normal,['None'],tarique fucking actor ,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user israeli government wrong even gal spoken netanyahu anti arab racism even poc could uphold white supremacy still targeted white supremacist many non white latinx jew arab etc uphold white supremacy,['Miscellaneous'],0,0,0,0,1
hatespeech,['Caucasian'],user bernardo white honky,['Race'],1,0,0,0,0
normal,['None'],user user user like authocratism chinese facists would like fly shit,['Miscellaneous'],0,0,0,0,1
normal,['None'],raped jew bombed dave,['Miscellaneous'],0,0,0,0,1
normal,['None'],meant whigger whither lol,['Miscellaneous'],0,0,0,0,1
normal,['None'],user let u see retweeted called weirdo you are clearly talkin unless you side tweetin like faggot one,['Miscellaneous'],0,0,0,0,1
normal,['None'],keep finding bitch stanning like number max,['Miscellaneous'],0,0,0,0,1
normal,['None'],anna acting like black ,['Miscellaneous'],0,0,0,0,1
normal,['None'],whyte men workout switch harder woman old jiggly booty,['Miscellaneous'],0,0,0,0,1
normal,['None'],sophomore high school aos want to bring shit charge scheme as little girl,['Miscellaneous'],0,0,0,0,1
normal,['None'],bitch real life weirdo,['Miscellaneous'],0,0,0,0,1
normal,['None'],trust karma bitch ,['Miscellaneous'],0,0,0,0,1
normal,['None'],date date office refugee resettlement received total number allegation sexual abuse sexual harassment government funded detention facility number referred justice dept,['Miscellaneous'],0,0,0,0,1
normal,['None'],user please twist matter indian muslim would thrown muslim refugee would shown door muslim number country go hindu one india see context,['Miscellaneous'],0,0,0,0,1
hatespeech,['Asian'],chink salivates salamander cry extinction,['Race'],1,0,0,0,0
normal,['None'],listening number right man caller moron hillbilly voice switched aj hinch bill brien would texan well good lord,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user user user follow thread many people know difference illegal immigrant refugee asylum seeker etc,['Miscellaneous'],0,0,0,0,1
normal,['None'],user difference illegal muslim refugee rohingyas muslim please talk sense,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],user need potassium eat banana fucking nigger,['Race'],1,0,0,0,0
normal,['None'],user never national news story begin push rise hate trump presidency narrative lie medium blavity black orgasmic type story,['Miscellaneous'],0,0,0,0,1
normal,['None'],user woman beauty went woman instagram page wrote disgusting comment nearly every pic woman posted saying white melanin ew ugly need son regarding baby saying grand kid trailer trash etc,['Miscellaneous'],0,0,0,0,1
offensive,"['Caucasian', 'Homosexual']",also vibe wigger call white missionary save life non white child africa india ect race traitor actual ,"['Race', 'Sexual Orientation']",1,0,0,1,0
offensive,['Women'],none hoe want get waist snatched hurd,['Gender'],0,0,1,0,0
hatespeech,"['African', 'Homosexual']",honestly man guy nigger faggot,"['Race', 'Sexual Orientation']",1,0,0,1,0
offensive,['Homosexual'],old dude opened sauna door stared number second walked away close door faggot,['Sexual Orientation'],0,0,0,1,0
normal,['None'],there is dead silence fuck niggaas,['Miscellaneous'],0,0,0,0,1
normal,['None'],user club diego though stripper pole stripper hoe,['Miscellaneous'],0,0,0,0,1
normal,['Women'],throwing hoe,['Gender'],0,0,1,0,0
hatespeech,['African'],ah shit forgot sheboon stole idea white person made god black woman completely fulfilling stereotype come anything steal everything,['Race'],1,0,0,0,0
hatespeech,['African'],make word nigger great make racial slur great dad told u bedtime story w bad guy jip jap jigaboo jones mom german grandmother w german accent always called black darky jew jewish shyster user pc terminology part brainwashing,['Race'],1,0,0,0,0
offensive,['Islam'],pakis favorite clothing brand jihadidas,['Religion'],0,1,0,0,0
hatespeech,['Islam'],worry uk worked hard cannot afford carehome fee take house oh look london another muzzie family nice flat good tex go shocker,['Religion'],0,1,0,0,0
normal,['None'],security council united nation colonialist power always ensured division occupation muslim land assisted others یو این چھوڑ خلافت لا کشمیر کو آزاد کرا,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],amber guyer shot man place bitch got deserved justice botham jean,['Gender'],0,0,1,0,0
hatespeech,['African'],negress dumb fuck scant chance understanding anything beyond size dick,['Race'],1,0,0,0,0
normal,['None'],every barber shop slut one nigga go barber get haircut sense barber loyalty slut,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],told dat bitch get right get left,['Gender'],0,0,1,0,0
hatespeech,['Jewish'],fuck kike cunt say thing good sticking cock throat talk,['Religion'],0,1,0,0,0
normal,['None'],user everything rape culture toxic disagree view hold hope get raped ,['Miscellaneous'],0,0,0,0,1
hatespeech,['Refugee'],people shithole country coming,['Miscellaneous'],0,0,0,0,1
normal,['None'],user country reveal method capability trump although doubt australian pm would tempted loathe shiny white as know gone soon enough without help,['Miscellaneous'],0,0,0,0,1
hatespeech,['Jewish'],rationale see trump firing prosecuting rosenstein little kike pocket bad idea,['Religion'],0,1,0,0,0
normal,['None'],talking co worker local takeaway shop instead saying maggot said faggot ready go kill oh god maddie,['Miscellaneous'],0,0,0,0,1
normal,['None'],user rape culture culture sickening unfortunately non higher ups understand white male never face anything,['Miscellaneous'],0,0,0,0,1
hatespeech,['Islam'],people getting pissed evil muzrat cult gov complicity,['Religion'],0,1,0,0,0
normal,['None'],wonder fatso dinner today lollers roanna fish pie think,['Miscellaneous'],0,0,0,0,1
hatespeech,['Homosexual'],angry bald dyke,['Sexual Orientation'],0,0,0,1,0
hatespeech,"['African', 'Homosexual']",really want jack gay msm cognitive dissonance need see dindu homo violence episode drop leaflet chicago splaining gay fond carrying fat roll cash one day medium queer wake log cabin question,"['Race', 'Sexual Orientation']",1,0,0,1,0
hatespeech,['Jewish'],user let u see smelly kike composed tweet whose name visible photo world awaits lynching relish,['Religion'],0,1,0,0,0
hatespeech,['Jewish'],found another degenerate pushing smut gab joke actually promoting smut porn user degenerate diversity kike hiding behind patriotism easily fooled,['Religion'],0,1,0,0,0
normal,['None'],washed white shoe clean bright ,['Miscellaneous'],0,0,0,0,1
offensive,"['Economic', 'Caucasian']",user nice burner account nobody name kid edwina unless georgia trailer trash,"['Miscellaneous', 'Race']",1,0,0,0,1
normal,['None'],isaac newton alan turing leonardo da vinci florence nightingale alexander great william shakespeare oscar wilde julius caesar abraham lincoln michaelangelo virginia woolf fucking zeus queer degree lgbt excellence ,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],unmerce censored another white bitch trying look black possible,['Gender'],0,0,1,0,0
offensive,['Caucasian'],like brazil many descendant west africa social construct label classification ruined many people falsely self identify white even know about native land b c bum as caucazoids aka caucasian,['Race'],1,0,0,0,0
normal,['None'],going right white boy raleigh,['Miscellaneous'],0,0,0,0,1
offensive,['Women'],fuck hoe,['Gender'],0,0,1,0,0
hatespeech,['African'],year get r kelly fidduck sick nigger,['Race'],1,0,0,0,0
normal,['None'],sesso gratis mature sexy celeb foot free big movie lokal saxy video white halter bikini top,['Miscellaneous'],0,0,0,0,1
normal,['None'],woman actress clever enough paid grace,['Miscellaneous'],0,0,0,0,1
normal,['None'],spice golden capricorn reduce white root sun nut sunflower powder fluro grey nut fluro sun set powder,['Miscellaneous'],0,0,0,0,1
normal,['African'],cheating wave grow dumbass nigga,['Race'],1,0,0,0,0
hatespeech,['African'],love pro white jack lantern fuck nigger fuck national african american communist party founded run jew look history jp sedita saying ok white altright american nationalist,['Race'],1,0,0,0,0
normal,['None'],hispanic immigrant dad literally wholesome raised show emotion showing smallest thing kid purest thing,['Miscellaneous'],0,0,0,0,1
normal,['None'],tell nigga fucking hit you become bitch boy ,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],nigger blow mind,['Race'],1,0,0,0,0
normal,['Homosexual'],bitch gay make dyke,['Sexual Orientation'],0,0,0,1,0
normal,['None'],you retarded lino,['Miscellaneous'],0,0,0,0,1
hatespeech,['African'],nigger true snake charmer,['Race'],1,0,0,0,0
normal,['None'],user user user love,['Miscellaneous'],0,0,0,0,1
normal,['None'],want to start twitter beef white christian mom,['Miscellaneous'],0,0,0,0,1
normal,['None'],kind of want to kill mean people encounter,['Miscellaneous'],0,0,0,0,1
normal,['None'],user obama black mulatto white mother anything case racism caucasian mother thrown side barry treated like lion king moral compass jimmy swaggart special edition compass   ,['Miscellaneous'],0,0,0,0,1
normal,['Homosexual'],love idea feminism corrupted woman hating thought housewife like half dyke know shut one day living farm gf,['Sexual Orientation'],0,0,0,1,0
normal,['None'],user user muslim take refugee india bangladesh pakistan r islamic state is not india supposed unsafe muslim leave country a soon a possible safety,['Miscellaneous'],0,0,0,0,1
offensive,['Homosexual'],look fuck fuck plane flew fuck shoe fuck sock belt fuck yo gay as fairy faggot accent ,['Sexual Orientation'],0,0,0,1,0
normal,['None'],everyone using duck duck go search engine track globalist queer ix quick good search result always great also using brave firefox tor browser boycott silicon valley boycott globalism,['Miscellaneous'],0,0,0,0,1
normal,['None'],user literally one care oh look got white person complain wow good job,['Miscellaneous'],0,0,0,0,1
normal,['None'],user got raped alien,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user user user user yeah backwoods redneck portion society oklahoma even know sport exist,['Miscellaneous'],0,0,0,0,1
normal,['None'],lil white as never want go home,['Miscellaneous'],0,0,0,0,1
offensive,['African'],rather get fisted nigger to be honest,['Race'],1,0,0,0,0
normal,['None'],user dead fucking hate   ,['Miscellaneous'],0,0,0,0,1
normal,['None'],user mr levin legal action president take stop harassment,['Miscellaneous'],0,0,0,0,1
normal,['None'],idc say grab woman pussy fuck brownie fuck fag dyke u rapist racist homophobe transphobe unpatriotic see bringing america back root u yup sure,['Miscellaneous'],0,0,0,0,1
normal,['None'],user also throw support ira violence racist comment white people blind support bolivarian economic farce stupid gift keep giving,['Miscellaneous'],0,0,0,0,1
offensive,['Hispanic'],money say kid beaner another money say driver beaner,['Race'],1,0,0,0,0
offensive,['Homosexual'],twitter full tween dyke think superior everyone muh oppression news flash one give shit,['Sexual Orientation'],0,0,0,1,0
offensive,['African'],hope niglets keep going knee realistic depiction black fake news tv chance getting shirt made say user boycott nfl tebow rule cannot pray owner pleased black knee,['Race'],1,0,0,0,0
offensive,['African'],remember quiet every pres left use obongo nigger think white guilt work obey obey taught school gov medium obey,['Race'],1,0,0,0,0
offensive,['Islam'],lowlife msm trying link guy rammed van moslem nrth londonistan tommy robinson britain first well linking anti moslem patriot brain percent uk,['Religion'],0,1,0,0,0
offensive,['Jewish'],hell shitty gab troll calling people monkey maybe kike freud right,['Religion'],0,1,0,0,0
normal,['None'],user user user yes men commit male violence actually would not envy lesbian confonted penis number reason fear raped beaten turning trans woman one,['Miscellaneous'],0,0,0,0,1
normal,['None'],user user user user aware religion say allowed exist aware religion say think girl religion except islam forbids homosexuality,['Miscellaneous'],0,0,0,0,1
offensive,['Hispanic'],think spic mexican think right think smart ,['Race'],1,0,0,0,0
normal,['None'],family crest fucking dragon bitch  ,['Miscellaneous'],0,0,0,0,1
hatespeech,['Arab'],user user user user kick raghead america,['Race'],1,0,0,0,0
normal,['None'],sobbing declare everything queer representation disney pointing bat owl gay,['Miscellaneous'],0,0,0,0,1
normal,['None'],used condemn liar criminal conmen tax avoidance philanderer corruption collusion pollution deadbeat parent thief violence threat etc etc thing quite liked thing back day opinion mattered brexit britain,['Miscellaneous'],0,0,0,0,1
hatespeech,"['African', 'Jewish']",nice idea doubt jewish gf back h used say jew nigger turned inside neither ever satisfied give jew teeth want eye,"['Race', 'Religion']",1,1,0,0,0
hatespeech,['Islam'],guy germany u men america going to man crusader musloid bullshit totally unacceptable,['Religion'],0,1,0,0,0
