Labels,Targets,Corpus,None,African,Asian,Women,Caucasian,Jewish,Homosexual,Islam,Hispanic,Arab,Refugee,Economic,Other,Disability,Men,Indian,Christian,Hindu,Indigenous,Buddhism
hatespeech,"['African', 'Islam']",a negro moslem doctor got struck off for negligence when a white number year old kid with down syndrome died the guardian response is to help promote a crowd funding campaign for her,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Homosexual'],anyway princess sapphire of silverland is a dyke and threw the first brick at stonewall,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],if we could teach a giraffe to paint that would be one handy sumbitch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],she want to meet carti that bitch is a barbie ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],smiling cuz i am young black rich and i am handsome,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],sex be so good a bitch be slow stroking and cry,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user yeah but a people who fall outside of society standard sexual norm maybe there is a reason a lot of queer trans people like to talk a bit more openly about their sexuality in certain space where they feel safe to do so,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user with a room full of white folk,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],play one game of overwatch after a month away very first game instantly ha two player calling people faggot and to kill yourself oh boy i got to just not play this game at all anymore,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user the shoe being on the other foot would mean that black and jew would pay high tax to subsidy the birth of white baby,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user the irony is they are the one whose mother were raped by m invader,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user is a scheming fraud who front a hillbilly cult,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user no idea who these woman are they get all the credit for jumping on after the woman who been calling for impeachment take the hit and smear and told to go back to where they come from job well done unknown white congress woman ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Homosexual'],y is big baby davis a faggot on shameless doe,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user baby in cage destroying environment by rolling back regulation siding with white supremacist bad mouthing gold star family shithole country response to puerto rico that just a few,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i do not blame orlando pie rat for loosing like this they are drunk from that black label    mtn s diski wafa wafa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],related instagram tag for jewelry fashionable designer trendy hairstyle fashion gram fashion blog menswear men style trend,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],catch woahs and pull hoe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],now stephanie liking this nigga shit  he getting mad bitch tonight,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],remember kid the cucumber is the sluttiest vegetable,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user there wa a time that they where shooting young men on demand look at my tweet i did a whole series these people are worse than the nazi and the child get raped and tortured in jail little palestinian child,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user like pretty much anything rooted in nostalgia even tangentially is going down the wrong path because if you are a trans woman of color or disabled queer latina you almost certainly never had all of thing and in many case had none,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i am going to give my fellow negro some advice do not show up at white christian school trying to make connection show up at because you are trying to be a christian the roman originally hated the christian they burned them at the stake and they fed them to lion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Homosexual'],you stupid motherfucking dick just why do not you over dribble your as and get the fuck out of the club you fucking faggot user,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user it wa way better than sonoma if you remember your redneck jesus won the glenn also,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,"['African', 'Homosexual']",the flag of the maga fag in all it glory it come with nigger red shoe too,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],just another dumb nigger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],have you proven your gender yet nice profile pic by the way oh i am a nigger too,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],they are going to figure out a way to kike bitcoin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],ok give u your defense of nigger dog tell u how they are not all like that lol i bet you are going to sound just like some mudshark taking up for actual nigger lol,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],user you first kike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],all these pro white christian should be deported to africa where they belong who would come out against that these subversive piece of shit take advantage of white civilization while opening the gate for nigger we need standard that the bottom line and these nigger level iq are dead weight,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Homosexual'],yet when a couple of filthy dyke want you to pander to their sin a you see them you must comply by law time to start organizing for yourselves no one else is going to do it for you,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user and all the animal that were killed people were horrified for their bear and coon and they call themselves liberal the definition of a liberal and feminist have changed keep your old dictionary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],reminds me of a college fundraiser to help a kike family rebuild their burnt house the father wa a magistrado which is like a high court judge so they were richer than most of the other student family,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Hispanic'],damn dat wetback need to strap in those moobs,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],i tire with you all day same just blah blah blah kike you will see it a dream cheese puff boy go bed it a school night ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],zion go down after slipping and tearing out of his shoe he limp off on his own power jack white in to the game,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],feisty little girl white walker giant feisty young woman the night king nuff said got,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['Women'],ha stupid rich hoe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],nude picture of older woman xl sex toy online sex chat site top number celebrity boob,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],silk sheet and diamond all white,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user dude there all good except woah and extravagant prob weirdo hoe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['Women'],bro before hoe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],ion hang wit bitch who nigga are insecure,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],cat dick have barb so it can scrape out competing sperm,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],lmao the viking suck get these nigga out of our city,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],you nigger need to sack up and tweet nigger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],the gap between blackpink and other artist ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],those girl were just rude we are just saying what you were thinking bullshit they were just slandering woman who are also doing the same hustle a them youtube those are really chat that they could ve done privately and kiki ed amongst themselves,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],girl like a mix of protective let me be a slut,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],qatar ha the death penalty for homosexual activity but at the same time there are no recorded case of execution for it which pretty much exemplifies the state of law in the middle east in theory everything is prohibited in reality most thing are not,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Islam'],that is the muzrat strategy in every country they infest,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],you are a lady uyasebenta and independent you drive a nice car you own a nice apartment you are beautiful and fun but every weekend you wake up with a different guy in bed cry and claim you were raped you do not even remember having sex with them wtf yini lenkinga i am lost,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],pc a the group bts user retweet if you are an army skip and il hate you,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Homosexual'],dm to paypal me faggot cash fag paypig cash master cash slave,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],adulting so ghetto i did not sign up for this   ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],sorry about the nigger comment but even black do not like nigger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],it officially spooky szn bitch,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,"['African', 'Jewish']",nd only percent nigger but jewish culture should be taken into account here thanks jew,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],this nigger calling me juicy lip over the phone wtf,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i know this is somewhat hypocritical but what the fuck is the deal with queer guy and slightly too small white tshirts,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['African'],wore a nipsey blue suit today only the nigger in the work place feel the energy  ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],there a distinction between refugee and illegal migrant a refugee is a victim of persecution illegal migrant are not victim of persecution nrc will identify the illegal migrant citizenship act wd give refugee a new life my request to user add ahmadis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['Arab'],user user a camel jockey midde east watering station,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
normal,['None'],dwts they all look good in white,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],create a list destabilizing violence,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Homosexual'],user sup faggot suck my two inch cock thru my old navy jean,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],i hate fucking nigger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],you all nigger are cancer,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],bitch always worrying about me cough cough user dumb hoe,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],user happy birthday slut whatchu on for the day,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],man i hate nigger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Asian'],hop sing no jew yes but i bet they looked for a jew to play his part then came to conclusion we can not find a jew that will fit the role okay let u get a gook at minimum wage,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],this yid endicted yet not arrested and,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i am about to bitch i will admit it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],rafiullah shaheed a young man from levi force wa shot dead by unknown men in muslim bagh a levy officer wa killed in a bomb blast in lashkar gah on sunday while militant were also killed on the same day three people including mullahaniyev were killed in chaman,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],do not know if i just seen joker or a really weird episode of atlanta  either way film wa very well done relevant phoenix wa brilliant,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],this nigger just saved the uk,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],then hoe stole my choreo and still managed to make it look bad and lose with it lmfao,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],team name washington warhogs team color red white and blue team location washington dc team president anybody but bruce allen,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],the same nigga that be flexing jewelry be the same one trynna get a discount at dollar tree smh,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Jewish'],tfw jew want to ban prn censored tfw now i agree with jew tfw i change my ideal get owned jew,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],microchip ha had more nigger cock in him than a kfc urinal in chicongo on mlk day ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['Homosexual'],i am wearing white pant and i look like a faggot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],overthink can kill yourself too happy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user user user what else we can expect from jihadi terrorist country,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],god bless james earl ray putting down that nigger mlk to save all those white girl from his rapist cock maga,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user one of two thing is happening here number that girl wa raped and is misplacing her pain number the girl is insanely jealous of kaitlyn based on biology degree dig i am thinking this one,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],fucking ulgly as bitch as stinky as bitch as nigger slave nigger teacher faggot peace of shit suck a dick,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],god made the nigger he made them in the night he made them in a hurry and forgot to paint them white,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user slack jawed knuckle dragging mouth breathing toothless inbred redneck backwoods uneducated hillbilly hick that the republican party,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Homosexual'],user user no one inayah a retarded faggot rather have porridge that the reason you numpty you are big gay,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user it a muslim immigrant man in europe this is not a white scandinavian woman thanks for your help though massive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user great poet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],pakistani moslem with link to terrorist want to stop a white christian head of state of another country visiting the european country his mother wa born in,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],you are next kike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],you mean the conservative saint ronald reagan gave amnesty to a million mexican another chink in his armor,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Islam'],the labour party ha number mp in prison for paedophilia number mp and councillor on the sex registry number million white kid raped by paki muslim all labour voter covered up by labour council mp and a pm,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],that his sister sheboon friend melissa is apparently dating some blonde dude,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],if the bbi will end the circle of violence and tension after every five year then bring it on,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],if ya nigga ever say that bitch ain t yo friend you better believe him  ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],common blacked on get them high,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user milky spore we think we have mole and the milky spore will kill their food source grub,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],system superman retard all of a cattery cat to be able to make toast explode,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['African'],all these nigga is parrot,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i raped a sheep because it sneezed at a pig,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i am so tired of corporate america i am only number year old and i feel like i have been in this bitch for number year,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Jewish'],lol get a load of this kike,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],pls call this coon out for the of impoverished blks living on he brink while he and his clowngressional bleak carcass cbc use every avenue to distract from their cowardly performance,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],tarique is a fucking actor ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user to what the israeli government doe they are so wrong and even gal ha spoken up against netanyahu anti arab racism but even poc could uphold white supremacy while still being targeted by white supremacist many non white latinx jew arab etc can uphold white supremacy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Caucasian'],user bernardo is just a white honky,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user more like authocratism the chinese are no facists but they would be on this like fly on a shit,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i raped the jew because it bombed dave,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i meant whigger not whither lol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user let u see you retweeted and called me a weirdo you are clearly talkin to me unless you wa side tweetin me like a faggot which one is it,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],i keep finding out that these bitch i am stanning are like number max,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],why is anna acting like she black ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],whyte men that workout switch harder then woman old jiggly booty,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],you all are sophomore in high school now why aos you want to bring shit up and charge her scheme as little girl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],you bitch are real life weirdo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],trust me karma is a bitch ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],from date to date the office of refugee resettlement received a total of number allegation of sexual abuse or sexual harassment from the government funded detention facility and only number were referred to the justice dept,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user no ma am please do not twist the matter no indian muslim would be thrown out only muslim refugee would be shown the door after all muslim have number country to go to while hindu have only one india see in this context,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['Asian'],the chink salivates a the salamander cry out in extinction,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],listening to number right now and man these caller are moron in hillbilly voice what if we switched aj hinch with bill o brien would the texan do well good lord,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user user user user user follow the thread they are the many people who do not know the difference between illegal immigrant refugee asylum seeker etc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user this is difference between illegal muslim refugee who are rohingyas and all the muslim please talk with some sense,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,['African'],user you need potassium eat a banana you fucking nigger,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user should have never been a national news story to begin with it is only to push the rise of hate during trump presidency narrative which is a lie the medium and blavity black are orgasmic for these type of story,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user woman beauty then she went on this woman instagram page and wrote disgusting comment on nearly every pic this woman posted saying why you so white you have no melanin ew he ugly he need son regarding a baby saying her other grand kid wa trailer trash etc,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,"['Caucasian', 'Homosexual']",also in this same vibe any wigger who call white missionary who save the life of non white child in africa india ect a race traitor is an actual ,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Women'],so none of you all hoe want to get that waist snatched hurd it,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hatespeech,"['African', 'Homosexual']",honestly man most of you guy are nigger faggot,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
offensive,['Homosexual'],old dude just opened the sauna door stared in here for number second and walked away close the door faggot,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],there is dead silence fuck niggaas,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['None'],user club diego though stripper pole stripper hoe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
normal,['Women'],he just throwing that hoe up,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
